method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
sac_her,action_clipping,0.3,0.0,-150.0,0.336927816199067,150.0,0.02039928240701552,0.5335503101348877,0.0,0.0,150,0.0,0.3530331437584165,0.0,1.0,0.0,0.2706066287516833,0.2206066287516833,0.2206066287516833
sac_her,action_delay,0.0,0.0,-150.0,0.336927816199067,150.0,0.04442037455737591,1.4784239768981933,0.0,0.0,150,0.0,0.2919302812630606,0.0,1.0,0.0,0.25838605625261213,0.2083860562526121,0.2083860562526121
sac_her,action_reversal,0.0,0.0,-150.0,0.336927816199067,150.0,0.029313348233699757,0.8655409812927246,0.0,0.0,150,0.0,0.3303582822211876,0.0,1.0,0.0,0.2660716564442375,0.21607165644423754,0.21607165644423754
sac_her,clean,0.0,0.0,-150.0,0.336927816199067,150.0,0.032567824795842124,1.4814727067947389,0.0,0.0,150,0.0,0.32207981458840096,0.0,1.0,1.0,0.46441596291768017,0.5144159629176801,0.5144159629176801
sac_her,contact_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.025520776771008922,1.6184666395187377,0.0,0.0,150,0.0,0.3400055110456744,0.0,1.0,0.0,0.26800110220913487,0.21800110220913488,0.21800110220913488
sac_her,goal_spoof_immediate,0.1,0.0,-150.0,0.3370669996809572,150.0,0.07422212631752088,1.342911579211553,0.0,0.0,150,0.0,0.21587723238047932,0.0,1.0,0.0,0.2431754464760959,0.19317544647609586,0.19317544647609586
sac_her,goal_spoof_midep,0.1,0.0,-150.0,0.336927816199067,150.0,0.049549089781939934,1.4175655074914297,0.0,0.0,150,0.0,0.27888428072391885,0.0,1.0,0.0,0.2557768561447838,0.20577685614478378,0.20577685614478378
sac_her,grip_state_falsification,0.0,0.0,-150.0,0.336927816199067,150.0,0.030251407623290996,1.4739344358444213,0.0,0.0,150,0.0,0.3279721245254473,0.0,1.0,0.0,0.26559442490508944,0.21559442490508945,0.21559442490508945
sac_her,object_pose_spoof,0.1,0.0,-150.0,0.3335200304631611,150.0,0.043057760614901734,1.350641991297404,0.013333333333333334,0.0,150,0.0,0.3014151656582311,0.0,0.9866666666666667,0.0,0.2576163664649796,0.20828303313164623,0.20828303313164623
sac_her,sensor_bias,0.1,0.006666666666666667,-149.16,0.3368450175608939,150.0,0.04686635478710131,1.30619935075442,0.013333333333333334,0.0,150,0.006666666666666667,0.28585463727621147,0.006666666666666667,0.9866666666666667,0.0,0.2571709274552423,0.20750426078857562,0.20750426078857562
sac_her,sensor_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,4.723762736524862e-09,1.6233586311340331,0.0,0.0,150,0.0,0.40492313491627807,0.0,1.0,0.0,0.2809846269832556,0.23098462698325561,0.23098462698325561
sac_her_recovery_v2,action_clipping,0.3,0.0,-150.0,0.336927816199067,150.0,0.03901993371546264,0.5383613228797912,0.0,1.0,150,0.0,0.30566747489739665,0.0,1.0,0.0,0.26113349497947935,0.21113349497947934,0.21113349497947934
sac_her_recovery_v2,action_delay,0.0,0.0,-150.0,0.336927816199067,150.0,0.08503118678927421,1.435861849784851,0.0,1.0,150,0.0,0.18862786436636786,0.0,1.0,0.0,0.2377255728732736,0.18772557287327357,0.18772557287327357
sac_her_recovery_v2,action_reversal,0.0,0.0,-150.0,0.336927816199067,150.0,0.052368490397930095,0.866681969165802,0.0,1.0,150,0.0,0.2717125232084895,0.0,1.0,0.0,0.2543425046416979,0.2043425046416979,0.2043425046416979
sac_her_recovery_v2,clean,0.0,0.0,-150.0,0.336927816199067,150.0,0.07240931838750836,1.4699840545654297,0.0,1.0,150,0.0,0.2207343266604233,0.0,1.0,1.0,0.4441468653320847,0.49414686533208463,0.49414686533208463
sac_her_recovery_v2,contact_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.13503868430852886,1.5284508228302003,0.0,1.0,150,0.0,0.06142293856493932,0.0,1.0,0.0,0.2122845877129879,0.16228458771298787,0.16228458771298787
sac_her_recovery_v2,goal_spoof_immediate,0.1,0.0,-150.0,0.3355474299703841,150.0,0.1200349095339576,1.3205192685127258,0.006666666666666667,1.0,150,0.0,0.10202631423676006,0.0,0.9933333333333333,0.0,0.21907192951401866,0.16940526284735202,0.16940526284735202
sac_her_recovery_v2,goal_spoof_midep,0.1,0.0,-150.0,0.336927816199067,150.0,0.09314676960309341,1.403327130873998,0.0,1.0,150,0.0,0.1679841177107842,0.0,1.0,0.0,0.23359682354215683,0.18359682354215684,0.18359682354215684
sac_her_recovery_v2,grip_state_falsification,0.0,0.0,-150.0,0.336927816199067,150.0,0.09801301136612887,1.442806029319763,0.0,1.0,150,0.0,0.15560577540000578,0.0,1.0,0.0,0.23112115508000117,0.18112115508000115,0.18112115508000115
sac_her_recovery_v2,object_pose_spoof,0.1,0.0,-150.0,0.33334740947429825,150.0,0.11800678203503286,1.3613921805222828,0.0,1.0,150,0.0,0.11107093999258154,0.0,1.0,0.0,0.22221418799851633,0.1722141879985163,0.1722141879985163
sac_her_recovery_v2,sensor_bias,0.1,0.0,-150.0,0.33915635493900925,150.0,0.10481713710973657,1.287300620675087,0.013333333333333334,1.0,150,0.0,0.13436199281846256,0.0,0.9866666666666667,0.0,0.22420573189702586,0.17487239856369252,0.17487239856369252
sac_her_recovery_v2,sensor_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.022109878435730902,1.4893264293670654,0.0,1.0,150,0.0,0.34868187141520085,0.0,1.0,0.0,0.2697363742830402,0.21973637428304016,0.21973637428304016
sac_her_recovery_v3,action_clipping,0.3,0.0,-150.0,0.33695354890957374,150.0,0.0409377612173557,0.5655476331710816,0.0,1.0,150,0.0,0.3007436155882224,0.0,1.0,0.0,0.2601487231176445,0.2101487231176445,0.2101487231176445
sac_her_recovery_v3,action_delay,0.0,0.2,-124.6,0.2701966847792024,150.0,0.07221852988004684,1.1945679187774658,0.0,1.0,150,0.2,0.33907916159991414,0.2,1.0,0.2,0.38781583231998285,0.34781583231998286,0.34781583231998286
sac_her_recovery_v3,action_reversal,0.0,0.0,-150.0,0.336927816199067,150.0,0.05375903770327562,0.9005269408226013,0.0,1.0,150,0.0,0.26817536427083727,0.0,1.0,0.0,0.2536350728541675,0.20363507285416746,0.20363507285416746
sac_her_recovery_v3,clean,0.0,0.0,-150.0,0.336927816199067,150.0,0.12594572827219958,1.405216360092163,0.0,1.0,150,0.0,0.08455284618472292,0.0,1.0,1.0,0.4169105692369446,0.4669105692369446,0.4669105692369446
sac_her_recovery_v3,contact_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.15725019201636312,1.3990597009658814,0.0,1.0,150,0.0,0.004923146932194022,0.0,1.0,0.0,0.2009846293864388,0.1509846293864388,0.1509846293864388
sac_her_recovery_v3,goal_spoof_immediate,0.1,0.0,-149.98666666666668,0.32784266621165087,150.0,0.11251596839477614,1.2742999370892842,0.013333333333333334,1.0,150,0.0,0.13476041140494918,0.0,0.9866666666666667,0.0,0.22428541561432316,0.17495208228098982,0.17495208228098982
sac_her_recovery_v3,goal_spoof_midep,0.1,0.0,-150.0,0.336927816199067,150.0,0.1213035996506611,1.3698492268721263,0.0,1.0,150,0.0,0.09636110806857592,0.0,1.0,0.0,0.2192722216137152,0.1692722216137152,0.1692722216137152
sac_her_recovery_v3,grip_state_falsification,0.0,0.0,-150.0,0.336927816199067,150.0,0.11601864397525782,1.3820131778717042,0.0,1.0,150,0.0,0.10980454011183434,0.0,1.0,0.0,0.2219609080223669,0.17196090802236685,0.17196090802236685
sac_her_recovery_v3,object_pose_spoof,0.1,0.006666666666666667,-149.18,0.32703687433638845,150.0,0.11149354194601373,1.300557141304016,0.0,1.0,150,0.006666666666666667,0.13878435254894808,0.006666666666666667,1.0,0.006666666666666667,0.23175687050978963,0.18209020384312294,0.18209020384312294
sac_her_recovery_v3,sensor_bias,0.1,0.0,-150.0,0.33971526312485467,150.0,0.10370831719289218,1.3068517619371414,0.006666666666666667,1.0,150,0.0,0.13619538173384102,0.0,0.9933333333333333,0.0,0.22590574301343486,0.1762390763467682,0.1762390763467682
sac_her_recovery_v3,sensor_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.022109878435730902,1.485145378112793,0.0,1.0,150,0.0,0.34868187141520085,0.0,1.0,0.0,0.2697363742830402,0.21973637428304016,0.21973637428304016
