episode_idx,failure_mode,condition,seed,success,final_distance,first_success_step,model
86,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
87,reached_but_failed_grasp,sensor_bias,0,0.0,0.3873673801416125,,clean_2M
88,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
89,reached_but_failed_grasp,sensor_bias,0,0.0,0.372276430803239,,clean_2M
90,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
91,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
92,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
93,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
94,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
95,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
96,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
97,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
98,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
99,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
100,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
101,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
102,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
103,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
104,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
105,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
106,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
107,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
108,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
109,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
110,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
111,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
112,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
113,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
114,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
115,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
116,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
117,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
118,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
119,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
120,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
121,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
122,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
123,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
124,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
125,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
126,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
127,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
128,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
129,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
130,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
131,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
132,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
133,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
134,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
135,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
136,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
137,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
138,success,action_delay,0,1.0,0.0178455548712649,16.0,clean_2M
