method,condition,seed,attack_level,timestep,reward,distance_to_goal,is_success,action_norm,intended_action_norm,safety_violation,recovery_triggered,object_pos_x,object_pos_y,object_pos_z,gripper_pos_x,gripper_pos_y,gripper_pos_z,gripper_aperture,object_velp_x,object_velp_y,object_velp_z,grip_velp_x,grip_velp_y,grip_velp_z,true_goal_x,true_goal_y,true_goal_z,perceived_goal_x,perceived_goal_y,perceived_goal_z,distance_to_object,distance_to_true_goal,distance_to_perceived_goal,steps_to_recovery,episode_idx,env
sac_her,clean,0,0.0,0,-1.0,0.3549225360528285,0.0,1.782513976097107,1.782513976097107,0.0,0.0,1.2042257579016762,0.6040593312785506,0.4248922393748039,1.3131330052353958,0.7196606716502995,0.5513436675614027,0.08141166226598323,0.02595398550638823,0.026047812278083997,-0.015146509175090247,-0.02595398550638823,-0.026047812278083997,0.015146516263957665,1.4359147724808996,0.8729277138033084,0.4248922232488584,1.4359147724808996,0.8729277138033084,0.4248922232488584,0.20301335450650398,0.3549225360528285,0.3549225360528285,,0,diag_clean_2M
sac_her,clean,0,0.0,1,-1.0,0.35492253605282864,0.0,1.8980215787887573,1.8980215787887573,0.0,0.0,1.2042257579016762,0.6040593312785506,0.42489224330969144,1.2805056626409432,0.6869416232818802,0.5273040891975728,0.10314341382817727,0.021860398931676607,0.022444554973124028,0.025795379979209068,-0.021860398931676607,-0.022444554973124028,-0.02579537824942844,1.4359147724808996,0.8729277138033084,0.4248922232488584,1.4359147724808996,0.8729277138033084,0.4248922232488584,0.1522375918520784,0.35492253605282864,0.35492253605282864,,0,diag_clean_2M
sac_her,clean,0,0.0,2,-1.0,0.35492253605282875,0.0,1.7523645162582397,1.7523645162582397,0.0,0.0,1.2042257579016762,0.6040593312785506,0.4248922442698613,1.2492661441731931,0.6552348717810335,0.5112222004302297,0.1002845738758484,0.022239922844778742,0.022410780527143185,0.007686203098637075,-0.022239922844778742,-0.022410780527143185,-0.007686202676543819,1.4359147724808996,0.8729277138033084,0.4248922232488584,1.4359147724808996,0.8729277138033084,0.4248922232488584,0.11000197121806432,0.35492253605282875,0.35492253605282875,,0,diag_clean_2M
sac_her,clean,0,0.0,3,-1.0,0.35492253605282875,0.0,1.9257787466049194,1.9257787466049194,0.0,0.0,1.2042257579016762,0.6040593312785506,0.42489224450415775,1.217796564460365,0.6237016051190897,0.483812853973295,0.1001013991447933,0.02187327357971731,0.022379927630633203,0.022948161626618477,-0.02187327357971731,-0.022379927630633203,-0.022948161523620975,1.4359147724808996,0.8729277138033084,0.4248922232488584,1.4359147724808996,0.8729277138033084,0.4248922232488584,0.06357376764432529,0.35492253605282875,0.35492253605282875,,0,diag_clean_2M
sac_her,clean,0,0.0,4,-1.0,0.35492253605282875,0.0,1.5797086954116821,1.5797086954116821,0.0,0.0,1.2042257579016762,0.6040593312785506,0.42489224456132985,1.188830662972167,0.6133679900165876,0.451926286625632,0.07970096116751502,0.019880434800112784,0.003603190074430371,0.022982319476412487,-0.019880434800112784,-0.0036031900744303703,-0.022982319451279418,1.4359147724808996,0.8729277138033084,0.4248922232488584,1.4359147724808996,0.8729277138033084,0.4248922232488584,0.03247305815170925,0.35492253605282875,0.35492253605282875,,0,diag_clean_2M
sac_her,clean,0,0.0,5,-1.0,0.32541482478187117,0.0,1.6644753217697144,1.6644753217697144,0.0,0.0,1.2128041313154085,0.6360388606116866,0.4252403900159033,1.2062723188672668,0.6364862530417866,0.4251347631794383,0.04217534342413125,-0.005361990154890587,-0.014944478647838755,0.013724715031022168,0.020654111789084974,0.022022231138677115,-0.018429646348378476,1.4359147724808996,0.8729277138033084,0.4248922232488584,1.4359147724808996,0.8729277138033084,0.4248922232488584,0.0065479684538634975,0.32541482478187117,0.32541482478187117,,0,diag_clean_2M
sac_her,clean,0,0.0,6,-1.0,0.28619719432058943,0.0,1.8954676389694214,1.8954676389694214,0.0,0.0,1.2428882907634646,0.6630562868942763,0.44946040510940305,1.2370651246628428,0.6686940089843427,0.4467023447152421,0.04467735854526558,0.0005448377654696974,9.799543908378672e-05,-0.0004108484209904388,0.02169106964248814,0.022899341355225315,0.024631539134311643,1.4359147724808996,0.8729277138033084,0.4248922232488584,1.4359147724808996,0.8729277138033084,0.4248922232488584,0.008561546060034557,0.28619719432058943,0.28619719432058943,,0,diag_clean_2M
sac_her,clean,0,0.0,7,-1.0,0.24197110680128778,0.0,1.7715117931365967,1.7715117931365967,0.0,0.0,1.2754416462874127,0.6960308678380734,0.46369812723113163,1.2689789229113444,0.7010577088161315,0.46140084326462455,0.04811818639592598,0.0003430680616252138,0.0024159986258410135,-0.00019608923620845122,0.02300257255018495,0.022694655865746406,0.006556154598434735,1.4359147724808996,0.8729277138033084,0.4248922232488584,1.4359147724808996,0.8729277138033084,0.4248922232488584,0.0085037307857807,0.24197110680128778,0.24197110680128778,,0,diag_clean_2M
sac_her,clean,0,0.0,8,-1.0,0.1964616116748099,0.0,1.7359341382980347,1.7359341382980347,0.0,0.0,1.30799495762153,0.730546183839982,0.4691775001872587,1.3010304459290598,0.7333635676080449,0.46705698997517914,0.04823800157352434,0.0003235887825609879,0.0032772423778935147,-8.239151229709821e-05,0.02277010838554048,0.022713615816613436,0.003235131390382331,1.4359147724808996,0.8729277138033084,0.4248922232488584,1.4359147724808996,0.8729277138033084,0.4248922232488584,0.007806320386112201,0.1964616116748099,0.1964616116748099,,0,diag_clean_2M
sac_her,clean,0,0.0,9,-1.0,0.14847173748229453,0.0,1.74945068359375,1.74945068359375,0.0,0.0,1.3404411962676626,0.7652713497554868,0.4614812975206888,1.3328541513270895,0.7656575720542127,0.45930699558671223,0.0481627436323782,0.0003573127486967975,0.002685792544617406,0.00013134301002699564,0.022866949378404878,0.02271564050809819,-0.00799666841081915,1.4359147724808996,0.8729277138033084,0.4248922232488584,1.4359147724808996,0.8729277138033084,0.4248922232488584,0.007901898980270654,0.14847173748229453,0.14847173748229453,,0,diag_clean_2M
