method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,first_success_step,episode_idx,recovery_version,benchmark_layer,env
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,0,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,1,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,2,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,3,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,4,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,5,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,6,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,7,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,8,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,9,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,10,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,11,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,12,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,13,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,14,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,15,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,16,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,17,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,18,none,B0,sac_her_pickandplace_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,19,none,B0,sac_her_pickandplace_clean_2M
