benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B0,sac_her,clean,0.0,0.0,-150.0,0.3343945223690124,150.0,0.08268762417137618,1.4475880861282349,0.0,0.0,150,0.0,0.0,0.0,1.0,1.0,0.4,0.44999999999999996,0.44999999999999996
B1,sac_her,action_clipping,0.3,0.0,-150.0,0.336927816199067,150.0,0.1441826255060732,0.5494377613067627,0.0,0.0,150,0.0,0.43989998104399564,0.0,1.0,0.0,0.28797999620879916,0.23797999620879912,0.23797999620879912
B1,sac_her,action_delay,0.0,0.2,-124.0,0.2704683723989981,150.0,0.13670737594366072,1.3036261677742005,0.0,0.0,150,0.2,0.5333115297788843,0.2,1.0,0.0,0.3866623059557769,0.32666230595577683,0.32666230595577683
B1,sac_her,action_reversal,0.0,0.0,-150.0,0.45663268500692067,150.0,0.05750105492770669,1.1290716409683228,0.0,0.0,150,0.0,0.353184754984809,0.0,1.0,0.0,0.27063695099696183,0.2206369509969618,0.2206369509969618
B1,sac_her,contact_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.08832858260720966,1.519186544418335,0.0,0.0,150,0.0,0.4853742894142816,0.0,1.0,0.0,0.2970748578828563,0.24707485788285632,0.24707485788285632
B1,sac_her,goal_spoof_immediate,0.1,0.02,-147.88666666666666,0.36847269980547726,150.0,0.3296546151178578,1.357720485428969,0.13333333333333333,0.0,150,0.02,0.24744658880616732,0.02,0.8666666666666667,0.0,0.23082265109456684,0.18648931776123348,0.18648931776123348
B1,sac_her,goal_spoof_midep,0.1,0.0,-150.0,0.33370223501941876,150.0,0.09662560274203615,1.409920922120412,0.0,0.0,150,0.0,0.48285746589674106,0.0,1.0,0.0,0.2965714931793482,0.2465714931793482,0.2465714931793482
B1,sac_her,grip_state_falsification,0.0,0.0,-150.0,0.336927816199067,150.0,0.4913019672036171,1.434248948097229,0.0,0.0,150,0.0,0.1572881741560477,0.0,1.0,0.0,0.23145763483120954,0.18145763483120952,0.18145763483120952
B1,sac_her,object_pose_spoof,0.1,0.02666666666666667,-146.74666666666667,0.36471576953956253,150.0,0.2089911806148787,1.3728642201423644,0.08,0.0,150,0.02666666666666667,0.35062280133118207,0.02666666666666667,0.92,0.0,0.2647912269329031,0.21745789359956974,0.21745789359956974
B1,sac_her,sensor_bias,0.1,0.0,-150.0,0.34926628610946764,150.0,0.23548816690842306,1.4428861648837725,0.02,0.0,150,0.0,0.3493500311448722,0.0,0.98,0.0,0.26587000622897444,0.21687000622897443,0.21687000622897443
B1,sac_her,sensor_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,5.781154222006535e-09,1.3620319366455078,0.0,0.0,150,0.0,0.5572881694492445,0.0,1.0,0.0,0.31145763388984893,0.2614576338898489,0.2614576338898489
